iter	Passed	Remaining
727	1275	126
728	1277	124
729	1279	122
730	1280	120
731	1282	119
732	1284	117
733	1286	115
734	1287	113
735	1289	112
736	1291	110
737	1292	108
738	1294	106
739	1295	105
740	1297	103
741	1299	101
742	1301	99
743	1302	98
744	1304	96
745	1306	94
746	1308	92
747	1309	91
748	1311	89
749	1313	87
750	1315	85
751	1317	84
752	1318	82
753	1320	80
754	1322	78
755	1323	77
756	1325	75
757	1327	73
758	1328	71
759	1330	70
760	1331	68
761	1334	66
762	1335	64
763	1337	63
764	1339	61
765	1341	59
766	1342	57
767	1344	56
768	1346	54
769	1348	52
770	1350	50
771	1351	49
772	1353	47
773	1354	45
774	1356	43
775	1358	42
776	1360	40
777	1361	38
778	1363	36
779	1365	35
780	1366	33
781	1368	31
782	1370	29
783	1372	28
784	1374	26
785	1376	24
786	1377	22
787	1379	21
788	1381	19
789	1382	17
790	1384	15
791	1385	13
792	1387	12
793	1389	10
794	1391	8
795	1393	7
796	1395	5
797	1397	3
798	1399	1
799	1401	0
